Global frequency set at 1000000000000 ticks per second
Hey, I am a DBICache component + Deepanjali
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 22.0.0.2
gem5 compiled Mar 28 2023 05:45:44
gem5 started Mar 28 2023 05:47:18
gem5 executing on v100-gpu-4, pid 14729
command line: build/X86/gem5.opt --stats-file =trew_dbi.txt configs/learning_gem5/DebugDBI/DBICache/config.py test-benchmark/test -n 1000000 -k 4 -t 10

Beginning simulation!
Setting Dirty, Packet address: 2ce00
Setting Dirty, Packet address: 3c740
Number of elements: 1000000, Number of cache blocks: 4, Number of iterations: 10
Setting Dirty, Packet address: 41440
Setting Dirty, Packet address: 37900
Setting Dirty, Packet address: 3fc40
Setting Dirty, Packet address: 3fcc0
Setting Dirty, Packet address: 386c0
Setting Dirty, Packet address: 38780
Setting Dirty, Packet address: 41780
Setting Dirty, Packet address: 41cc0
Setting Dirty, Packet address: 29d80
Setting Dirty, Packet address: 29e80
Setting Dirty, Packet address: 2b500
Setting Dirty, Packet address: 2bc40
Setting Dirty, Packet address: 3c700
Setting Dirty, Packet address: 2cac0
Setting Dirty, Packet address: 3cbc0
Setting Dirty, Packet address: 3cc00
Setting Dirty, Packet address: 3cc80
Setting Dirty, Packet address: 3cec0
Setting Dirty, Packet address: 3e180
Setting Dirty, Packet address: 37500
Setting Dirty, Packet address: 8f540
Setting Dirty, Packet address: 3f7c0
Setting Dirty, Packet address: 3f800
Setting Dirty, Packet address: 3f880
Setting Dirty, Packet address: 37b00
Setting Dirty, Packet address: 8fc40
Setting Dirty, Packet address: 8fc80
Setting Dirty, Packet address: 3fe40
Setting Dirty, Packet address: 37e80
Setting Dirty, Packet address: 3fec0
Setting Dirty, Packet address: 37f80
Setting Dirty, Packet address: 380c0
Setting Dirty, Packet address: 90640
Setting Dirty, Packet address: 38680
Setting Dirty, Packet address: 90700
Setting Dirty, Packet address: 41280
Setting Dirty, Packet address: 69780
Setting Dirty, Packet address: 41ac0
Setting Dirty, Packet address: 91e80
Setting Dirty, Packet address: 92180
Setting Dirty, Packet address: 924c0
Setting Dirty, Packet address: 2b140
Setting Dirty, Packet address: 93180
Setting Dirty, Packet address: 2b440
Setting Dirty, Packet address: 93780
Setting Dirty, Packet address: 2b980
Setting Dirty, Packet address: 2bb80
Setting Dirty, Packet address: 2c080
Setting Dirty, Packet address: 2c140
Setting Dirty, Packet address: 2c700
Setting Dirty, Packet address: 3c780
Setting Dirty, Packet address: 2c800
Setting Dirty, Packet address: 3c8c0
Setting Dirty, Packet address: 3c940
Setting Dirty, Packet address: 3ca00
Setting Dirty, Packet address: 3ca80
Setting Dirty, Packet address: 3cb00
Setting Dirty, Packet address: 3cb80
Setting Dirty, Packet address: 2cc00
Setting Dirty, Packet address: 3cf40
Setting Dirty, Packet address: 3cf80
Setting Dirty, Packet address: 45200
Setting Dirty, Packet address: 91440
Setting Dirty, Packet address: 45800
Setting Dirty, Packet address: 91c80
Setting Dirty, Packet address: 41f00
Setting Dirty, Packet address: 96440
Setting Dirty, Packet address: 365c0
Setting Dirty, Packet address: 368c0
Setting Dirty, Packet address: 37300
Setting Dirty, Packet address: 373c0
Setting Dirty, Packet address: 37440
Setting Dirty, Packet address: 37480
Setting Dirty, Packet address: 97540
Setting Dirty, Packet address: 975c0
Setting Dirty, Packet address: 8f7c0
Setting Dirty, Packet address: 3f8c0
Setting Dirty, Packet address: 8f940
Setting Dirty, Packet address: 37980
Setting Dirty, Packet address: 3fa80
Setting Dirty, Packet address: 8fcc0
Setting Dirty, Packet address: 37d80
Setting Dirty, Packet address: 3fe00
Setting Dirty, Packet address: 8fec0
Setting Dirty, Packet address: 8ff00
Setting Dirty, Packet address: 38480
Setting Dirty, Packet address: 38540
Setting Dirty, Packet address: 385c0
Setting Dirty, Packet address: 387c0
Setting Dirty, Packet address: 90900
Setting Dirty, Packet address: 90bc0
Setting Dirty, Packet address: 98f80
Setting Dirty, Packet address: 41400
Setting Dirty, Packet address: 91700
Setting Dirty, Packet address: 91780
Setting Dirty, Packet address: 417c0
Setting Dirty, Packet address: 99840
Setting Dirty, Packet address: 91ac0
Setting Dirty, Packet address: 91b00
Setting Dirty, Packet address: 91b80
Setting Dirty, Packet address: 29c80
Setting Dirty, Packet address: 41e80
Setting Dirty, Packet address: 99ec0
Setting Dirty, Packet address: 91f00
Setting Dirty, Packet address: 92000
Setting Dirty, Packet address: 9a100
Setting Dirty, Packet address: 92300
Setting Dirty, Packet address: 92540
Setting Dirty, Packet address: 92780
Setting Dirty, Packet address: 2aa80
Setting Dirty, Packet address: 92b40
Setting Dirty, Packet address: 92cc0
Setting Dirty, Packet address: 92d80
Setting Dirty, Packet address: 9ae80
Setting Dirty, Packet address: 9b080
Setting Dirty, Packet address: 9b0c0
Setting Dirty, Packet address: 2b180
Setting Dirty, Packet address: 2b1c0
Setting Dirty, Packet address: 93280
Setting Dirty, Packet address: 9b2c0
Setting Dirty, Packet address: 2b400
Setting Dirty, Packet address: 93440
Setting Dirty, Packet address: 2b5c0
Setting Dirty, Packet address: 9b800
Setting Dirty, Packet address: 93980
Setting Dirty, Packet address: 93b00
Setting Dirty, Packet address: 9bb40
Setting Dirty, Packet address: 2bbc0
Setting Dirty, Packet address: 94040
Setting Dirty, Packet address: 941c0
Setting Dirty, Packet address: 9c200
Setting Dirty, Packet address: 94280
Setting Dirty, Packet address: 9c5c0
Setting Dirty, Packet address: 2c6c0
Setting Dirty, Packet address: 2c740
Setting Dirty, Packet address: 3c7c0
Setting Dirty, Packet address: 9c800
Setting Dirty, Packet address: 9c880
Setting Dirty, Packet address: 94940
Setting Dirty, Packet address: 94980
Setting Dirty, Packet address: 2cb40
Setting Dirty, Packet address: 9cbc0
Setting Dirty, Packet address: 9cc40
Setting Dirty, Packet address: 3ccc0
Setting Dirty, Packet address: 2cd40
Setting Dirty, Packet address: 94f80
Setting Dirty, Packet address: 9cfc0
Setting Dirty, Packet address: 3d000
Setting Dirty, Packet address: 95200
Setting Dirty, Packet address: 9d600
Setting Dirty, Packet address: 9d880
Setting Dirty, Packet address: 45980
Setting Dirty, Packet address: 95a40
Setting Dirty, Packet address: 95b80
Setting Dirty, Packet address: 9dd80
Setting Dirty, Packet address: 36140
Setting Dirty, Packet address: 3e3c0
Setting Dirty, Packet address: 36440
Setting Dirty, Packet address: 964c0
Setting Dirty, Packet address: 36500
Setting Dirty, Packet address: 36740
Setting Dirty, Packet address: 9eac0
Setting Dirty, Packet address: 3ec80
Setting Dirty, Packet address: 3ecc0
Setting Dirty, Packet address: 9ed40
Setting Dirty, Packet address: 3edc0
Setting Dirty, Packet address: 3ee00
Setting Dirty, Packet address: 87040
Setting Dirty, Packet address: 37080
Setting Dirty, Packet address: 971c0
Setting Dirty, Packet address: 97200
Setting Dirty, Packet address: 97240
Setting Dirty, Packet address: 67300
Setting Dirty, Packet address: 37340
Setting Dirty, Packet address: 97380
Setting Dirty, Packet address: 8f3c0
Setting Dirty, Packet address: 8f440
Setting Dirty, Packet address: 9f480
Setting Dirty, Packet address: 974c0
Setting Dirty, Packet address: 8f580
Setting Dirty, Packet address: 8f680
Setting Dirty, Packet address: 3f840
Setting Dirty, Packet address: 979c0
Setting Dirty, Packet address: 97a40
Setting Dirty, Packet address: 37a80
Setting Dirty, Packet address: 8fac0
Setting Dirty, Packet address: 97c00
Setting Dirty, Packet address: 97c40
Setting Dirty, Packet address: 9bc40
Setting Dirty, Packet address: 37c80
Setting Dirty, Packet address: 9fd80
Setting Dirty, Packet address: 8fdc0
Setting Dirty, Packet address: 97ec0
Setting Dirty, Packet address: 3ff40
Setting Dirty, Packet address: 97f80
Setting Dirty, Packet address: 37fc0
Setting Dirty, Packet address: 38000
Setting Dirty, Packet address: 90040
Setting Dirty, Packet address: 90080
Setting Dirty, Packet address: 90100
Setting Dirty, Packet address: 90140
Setting Dirty, Packet address: 38180
Setting Dirty, Packet address: a01c0
Setting Dirty, Packet address: 38240
Setting Dirty, Packet address: 38300
Setting Dirty, Packet address: 983c0
Setting Dirty, Packet address: 90400
Setting Dirty, Packet address: 90480
Setting Dirty, Packet address: 98540
Setting Dirty, Packet address: 90680
Setting Dirty, Packet address: 98700
Setting Dirty, Packet address: 38980
Setting Dirty, Packet address: a0b80
Setting Dirty, Packet address: 90ec0
Setting Dirty, Packet address: 98f00
Setting Dirty, Packet address: 80f80
Setting Dirty, Packet address: a1000
Setting Dirty, Packet address: 912c0
Setting Dirty, Packet address: 415c0
Setting Dirty, Packet address: 41600
Setting Dirty, Packet address: 99680
Setting Dirty, Packet address: 91740
Setting Dirty, Packet address: 99800
Setting Dirty, Packet address: 99980
Setting Dirty, Packet address: 419c0
Setting Dirty, Packet address: 41b80
Setting Dirty, Packet address: 41bc0
Setting Dirty, Packet address: a1c00
Setting Dirty, Packet address: 41d00
Setting Dirty, Packet address: a1dc0
Setting Dirty, Packet address: 99e00
Setting Dirty, Packet address: 99e80
Setting Dirty, Packet address: 69ec0
