Global frequency set at 1000000000000 ticks per second
Hey, I am a DBICache component + Deepanjali
Hey, I am a RDBI component
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 22.0.0.2
gem5 compiled Mar 14 2023 05:00:37
gem5 started Mar 14 2023 05:02:43
gem5 executing on v100-gpu-4, pid 9588
command line: build/X86/gem5.opt --stats-file =dbi.txt configs/learning_gem5/DebugDBI/DBICache/config.py test-benchmark/test -n 3000 -k 4 -t 1

Beginning simulation!
Packet address request from CPU: 15360
Packet address request from CPU: 183808
Packet address request from CPU: 18816
Packet address request from CPU: 183744
Packet address request from CPU: 18880
Packet address request from CPU: 171072
Packet address request from CPU: 171648
Packet address request from CPU: 172032
Packet address request from CPU: 174528
Packet address request from CPU: 18944
Packet address request from CPU: 19008
Packet address request from CPU: 174720
Packet address request from CPU: 174592
Packet address request from CPU: 19520
Packet address request from CPU: 19584
Packet address request from CPU: 19904
Packet address request from CPU: 175168
Packet address request from CPU: 174656
Packet address request from CPU: 171712
Packet address request from CPU: 171776
Packet address request from CPU: 174784
Packet address request from CPU: 171840
Packet address request from CPU: 19072
Packet address request from CPU: 174912
Packet address request from CPU: 174848
Packet address request from CPU: 171904
Packet address request from CPU: 174976
Packet address request from CPU: 19136
Packet address request from CPU: 19200
Packet address request from CPU: 19264
Packet address request from CPU: 19328
Packet address request from CPU: 19648
Packet address request from CPU: 19712
Packet address request from CPU: 14528
Packet address request from CPU: 19776
Packet address request from CPU: 171392
Packet address request from CPU: 14592
Packet address request from CPU: 171456
Packet address request from CPU: 14656
Packet address request from CPU: 14720
Packet address request from CPU: 14784
Packet address request from CPU: 171520
Packet address request from CPU: 19840
Packet address request from CPU: 13440
Packet address request from CPU: 137152
Packet address request from CPU: 19968
Packet address request from CPU: 171968
Packet address request from CPU: 13312
Packet address request from CPU: 13376
Packet address request from CPU: 14848
Packet address request from CPU: 13760
Packet address request from CPU: 13504
Packet address request from CPU: 13568
Packet address request from CPU: 14912
Packet address request from CPU: 19392
Packet address request from CPU: 175296
Packet address request from CPU: 183680
Packet address request from CPU: 60032
Packet address request from CPU: 12928
Packet address request from CPU: 60096
Packet address request from CPU: 175360
Packet address request from CPU: 19456
Packet address request from CPU: 171584
Packet address request from CPU: 174464
Packet address request from CPU: 116096
Packet address request from CPU: 183616
Packet address request from CPU: 116160
Packet address request from CPU: 171136
Packet address request from CPU: 176384
Packet address request from CPU: 183872
Packet address request from CPU: 116224
Packet address request from CPU: 171264
Packet address request from CPU: 171200
Packet address request from CPU: 116288
Packet address request from CPU: 183552
Packet address request from CPU: 116352
Packet address request from CPU: 116416
Packet address request from CPU: 139648
Packet address request from CPU: 139584
Packet address request from CPU: 116736
Packet address request from CPU: 183936
Packet address request from CPU: 139520
Packet address request from CPU: 116800
Packet address request from CPU: 116672
Packet address request from CPU: 184000
Packet address request from CPU: 184064
Packet address request from CPU: 184128
Packet address request from CPU: 116608
Packet address request from CPU: 184192
Packet address request from CPU: 116992
Packet address request from CPU: 116480
Packet address request from CPU: 116544
Packet address request from CPU: 119808
Packet address request from CPU: 176320
Packet address request from CPU: 119872
Packet address request from CPU: 116864
Packet address request from CPU: 114752
Packet address request from CPU: 183488
Packet address request from CPU: 114816
Packet address request from CPU: 114880
Packet address request from CPU: 114944
Packet address request from CPU: 115008
Packet address request from CPU: 171328
Packet address request from CPU: 119936
Packet address request from CPU: 176256
Packet address request from CPU: 116928
Packet address request from CPU: 20928
Packet address request from CPU: 20992
Packet address request from CPU: 183360
Packet address request from CPU: 176000
Packet address request from CPU: 175936
Packet address request from CPU: 21056
Packet address request from CPU: 183424
Packet address request from CPU: 21120
Packet address request from CPU: 183296
Packet address request from CPU: 117888
Packet address request from CPU: 117952
Packet address request from CPU: 21248
Packet address request from CPU: 170944
Packet address request from CPU: 21440
Packet address request from CPU: 22016
Packet address request from CPU: 22080
Packet address request from CPU: 60352
Packet address request from CPU: 183232
Packet address request from CPU: 130880
Packet address request from CPU: 141376
Packet address request from CPU: 60416
Packet address request from CPU: 60928
Packet address request from CPU: 60992
Packet address request from CPU: 14976
Packet address request from CPU: 118400
Packet address request from CPU: 118336
Packet address request from CPU: 118080
Packet address request from CPU: 183168
Packet address request from CPU: 118144
Packet address request from CPU: 118272
Packet address request from CPU: 60480
Packet address request from CPU: 176512
Packet address request from CPU: 177152
Packet address request from CPU: 134848
Packet address request from CPU: 177856
Packet address request from CPU: 134912
Packet address request from CPU: 134976
Packet address request from CPU: 177216
Packet address request from CPU: 60544
Packet address request from CPU: 176448
Packet address request from CPU: 177408
Packet address request from CPU: 60608
Packet address request from CPU: 177600
Packet address request from CPU: 177664
Packet address request from CPU: 177728
Packet address request from CPU: 177792
Packet address request from CPU: 177344
Packet address request from CPU: 60672
Packet address request from CPU: 172096
Packet address request from CPU: 61184
Packet address request from CPU: 61248
Packet address request from CPU: 60736
Packet address request from CPU: 60800
Packet address request from CPU: 22144
Packet address request from CPU: 60160
Packet address request from CPU: 60224
Packet address request from CPU: 15488
Packet address request from CPU: 174400
Packet address request from CPU: 60288
Packet address request from CPU: 177280
Packet address request from CPU: 22208
Packet address request from CPU: 22272
Packet address request from CPU: 64
Packet address request from CPU: 24512
Packet address request from CPU: 24704
Packet address request from CPU: 128
Packet address request from CPU: 176128
Packet address request from CPU: 24576
Packet address request from CPU: 192
Packet address request from CPU: 24640
Packet address request from CPU: 256
Packet address request from CPU: 24832
Packet address request from CPU: 320
Packet address request from CPU: 384
Packet address request from CPU: 22336
Packet address request from CPU: 448
Packet address request from CPU: 512
Packet address request from CPU: 24448
Packet address request from CPU: 22400
Packet address request from CPU: 22464
Packet address request from CPU: 177536
Packet address request from CPU: 22528
Packet address request from CPU: 125568
Packet address request from CPU: 125632
Packet address request from CPU: 125696
Packet address request from CPU: 140480
Packet address request from CPU: 129408
Packet address request from CPU: 14208
Packet address request from CPU: 129472
Packet address request from CPU: 130688
Packet address request from CPU: 130752
Packet address request from CPU: 22592
Packet address request from CPU: 176064
Packet address request from CPU: 22656
Packet address request from CPU: 7680
Packet address request from CPU: 22720
Packet address request from CPU: 176640
Packet address request from CPU: 7744
Packet address request from CPU: 176704
Packet address request from CPU: 176768
Packet address request from CPU: 7808
Packet address request from CPU: 22784
Packet address request from CPU: 24896
Packet address request from CPU: 24960
Packet address request from CPU: 25024
Packet address request from CPU: 176576
Packet address request from CPU: 7872
Packet address request from CPU: 7936
Packet address request from CPU: 8000
Packet address request from CPU: 176832
Packet address request from CPU: 8064
Packet address request from CPU: 176896
Packet address request from CPU: 22912
Packet address request from CPU: 22976
Packet address request from CPU: 23040
Packet address request from CPU: 23104
Packet address request from CPU: 640
Packet address request from CPU: 23168
Packet address request from CPU: 177920
Packet address request from CPU: 178624
Packet address request from CPU: 179072
Packet address request from CPU: 179008
Packet address request from CPU: 178688
Packet address request from CPU: 178880
Packet address request from CPU: 178752
Packet address request from CPU: 178816
Packet address request from CPU: 61056
Packet address request from CPU: 61120
Packet address request from CPU: 184320
Packet address request from CPU: 178560
Packet address request from CPU: 23232
Packet address request from CPU: 23296
Packet address request from CPU: 23360
Packet address request from CPU: 23424
Packet address request from CPU: 23488
Packet address request from CPU: 177984
Packet address request from CPU: 30976
Packet address request from CPU: 31040
Packet address request from CPU: 23616
Packet address request from CPU: 23680
Packet address request from CPU: 23744
Packet address request from CPU: 23808
Packet address request from CPU: 178112
Packet address request from CPU: 23872
Packet address request from CPU: 178368
Packet address request from CPU: 23936
Packet address request from CPU: 24000
Packet address request from CPU: 178176
Packet address request from CPU: 24064
Packet address request from CPU: 178240
Packet address request from CPU: 24128
Packet address request from CPU: 24192
Packet address request from CPU: 178048
Packet address request from CPU: 24256
Packet address request from CPU: 24320
Packet address request from CPU: 24384
Packet address request from CPU: 117440
Packet address request from CPU: 117504
Packet address request from CPU: 182784
Packet address request from CPU: 117696
Packet address request from CPU: 124160
Packet address request from CPU: 182976
Packet address request from CPU: 117760
Packet address request from CPU: 117632
Packet address request from CPU: 26560
Packet address request from CPU: 26624
Packet address request from CPU: 46336
Packet address request from CPU: 46400
Packet address request from CPU: 74240
Packet address request from CPU: 183104
Packet address request from CPU: 183040
Packet address request from CPU: 74304
Packet address request from CPU: 74368
Packet address request from CPU: 74880
Packet address request from CPU: 74944
Packet address request from CPU: 123648
Packet address request from CPU: 123712
Packet address request from CPU: 76032
Packet address request from CPU: 76096
Packet address request from CPU: 74816
Packet address request from CPU: 75008
Packet address request from CPU: 75072
Packet address request from CPU: 75968
Packet address request from CPU: 76160
Packet address request from CPU: 76224
Packet address request from CPU: 134272
Packet address request from CPU: 142592
Packet address request from CPU: 134336
Packet address request from CPU: 134400
Packet address request from CPU: 76288
Packet address request from CPU: 46464
Packet address request from CPU: 179136
Packet address request from CPU: 46528
Packet address request from CPU: 179200
Packet address request from CPU: 46592
Packet address request from CPU: 134016
Packet address request from CPU: 134080
Packet address request from CPU: 134208
Packet address request from CPU: 46656
Packet address request from CPU: 179264
